Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9
21101,2o,1+,2o,-2,1o,2+,2o,2+
21102,-5,3o,3+,4o,-4,-4,5o,4+
21103,-4,-5,4o,4o,4+,5+,-5,-5
21104,4o,4o,-4,3+,-3,4o,3o,-5
21105,3+,-5,-4,4o,4o,3+,3o,-4
21106,4o,3+,3+,3+,3+,3+,4+,-4
21107,-4,3+,2+,3o,2+,-3,-3,-2
21108,1o,1+,1+,-2,1+,-1,2o,0+
21109,-1,0o,1o,-1,-1,-2,-3,3o
21110,-4,4+,5o,-2,2o,2o,-2,2+
21111,2o,2o,3o,3+,-4,1+,2+,-3
21112,2o,-3,2+,4o,3+,-2,4o,4o
21113,4o,-4,2+,-3,3o,-2,-2,2o
21114,3o,2o,1+,-2,2o,-3,2o,2o
21115,3o,-3,-3,3o,2+,2o,2+,3o
21116,3o,1+,1o,0+,1o,-1,-2,3+
21117,-4,2+,1o,0+,-1,-2,1o,2o
21118,3o,2o,-2,1+,2+,2o,3o,3o
21119,3o,3+,3+,2o,2o,-2,3+,4o
21120,3+,-3,1+,2+,1o,4o,6o,5o
21121,4+,5+,-7,5+,-5,4+,-5,4+
21122,-5,-4,3+,-4,-5,4o,3o,-4
21123,4o,4+,3o,-3,-3,3+,-3,2o
21124,3o,3+,-3,3o,2+,-4,3o,3o
21125,-3,-3,3o,3+,3+,-4,2o,3+
21126,3o,2+,1o,1+,2o,-2,2+,5o
21127,5o,5o,4+,-3,3+,2o,-3,-3
21128,-3,3o,3o,-2,-3,3o,3+,2o
21129,-3,2+,3o,2o,-3,3+,3+,3+
21130,3+,-4,-4,3o,3o,-3,2+,3o
